Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
12,23017582.0,20200000000000.0,15/12/24,city scrape,429054820,2021-10-26,,,,f,3,t,t,Bonfim,41.14769,-8.600418,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Refrigerator"", ""Room-darkening shades"", ""Toaster"", ""Other electric stove"", ""Shampoo"", ""TV with standard cable"", ""Dedicated workspace"", ""Cleaning products"", ""Coffee maker: drip coffee maker, espresso machine"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Hair dryer"", ""Books and reading material"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Hot water"", ""Host greets you"", ""Hangers"", ""Luggage dropoff allowed"", ""Clothing storage: closet, wardrobe, and dresser"", ""Kitchenette"", ""Wifi"", ""Paid parking lot off premises"", ""Iron"", ""Cooking basics"", ""Window guards"", ""Hot water kettle"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Wine glasses"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Central air conditioning"", ""Paid parking on premises"", ""Freezer"", ""Dining table"", ""Hammock"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Bidet"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Shower gel"", ""Coffee"", ""Free washer \u2013 In unit"", ""Bed linens""]",$63.00,3,330,24,54,70,200,50,7,0,30/03/18,03/11/24,4.94,4.94,4.96,4.98,4.98,4.92,4.9,16700/AL,t,3,3,0,0,0.61
13,23023720.0,20200000000000.0,15/12/24,city scrape,429054820,2021-10-26,,,,f,3,t,t,Bonfim,41.14769,-8.60042,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Refrigerator"", ""Room-darkening shades"", ""Toaster"", ""Shampoo"", ""Paid washer \u2013 In unit"", ""Dedicated workspace"", ""Cleaning products"", ""HDTV with standard cable"", ""Paid crib - available upon request"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""Host greets you"", ""Hangers"", ""Luggage dropoff allowed"", ""Clothing storage: closet, wardrobe, and dresser"", ""Private entrance"", ""Wifi"", ""Paid parking lot off premises"", ""Coffee maker"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Oven"", ""Hot water kettle"", ""Drying rack for clothing"", ""Wine glasses"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Central air conditioning"", ""Paid parking on premises"", ""Freezer"", ""Dining table"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Stainless steel induction stove"", ""Shower gel"", ""Cleaning available during stay"", ""Bed linens""]",$65.00,3,330,15,32,32,168,31,4,0,30/07/18,01/09/24,4.97,4.97,5.0,4.94,5.0,4.9,4.84,52228/al,t,3,3,0,0,0.4
194,1298881.0,20200000000000.0,15/12/24,city scrape,402191311,2021-05-18,,,,f,295,t,f,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13976,-8.61587,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Refrigerator"", ""Self check-in"", ""Hair dryer"", ""Heating"", ""Fire extinguisher"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Wifi"", ""Shampoo"", ""Hangers"", ""Dedicated workspace"", ""Lockbox"", ""Private entrance"", ""TV"", ""Bed linens"", ""Hot water kettle""]",$66.00,1,1125,15,39,69,333,337,16,1,28/07/13,20/11/24,4.59,4.68,4.72,4.83,4.74,4.89,4.65,5620/AL,t,50,42,8,0,2.43
942,9818493.0,20200000000000.0,15/12/24,city scrape,431283509,2021-10-11,,,,f,68,t,t,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15542,-8.60939,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,5.0,"[""Coffee maker: Nespresso"", ""Baby bath"", ""Refrigerator"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Toaster"", ""TV with standard cable"", ""Ethernet connection"", ""Dedicated workspace"", ""Cleaning products"", ""Free street parking"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Clothing storage"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Stove"", ""Hot water"", ""High chair"", ""Host greets you"", ""Hangers"", ""Luggage dropoff allowed"", ""Wifi"", ""Iron"", ""Crib"", ""Kitchen"", ""Cooking basics"", ""Oven"", ""Hot water kettle"", ""Wine glasses"", ""Beach essentials"", ""Long term stays allowed"", ""City skyline view"", ""Bathtub"", ""Heating"", ""Smoke alarm"", ""Essentials"", ""Outlet covers"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Freezer"", ""Dining table"", ""Courtyard view"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Bidet"", ""Children\u2019s books and toys"", ""Shower gel"", ""Babysitter recommendations"", ""Bed linens""]",$85.00,3,150,17,43,70,318,276,27,1,02/01/16,25/11/24,4.76,4.83,4.67,4.92,4.95,4.64,4.69,28839/AL,t,63,46,17,0,2.53
1136,12220315.0,20200000000000.0,15/12/24,city scrape,402191311,2021-05-18,,,,f,295,t,f,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14049,-8.61603,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Refrigerator"", ""Self check-in"", ""Hair dryer"", ""Fire extinguisher"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Wifi"", ""Shampoo"", ""Hangers"", ""Dedicated workspace"", ""Lockbox"", ""Private entrance"", ""TV"", ""Bed linens"", ""Hot water kettle""]",$69.00,1,1125,15,37,64,333,359,54,5,03/05/16,01/12/24,4.57,4.67,4.6,4.78,4.73,4.89,4.61,5620/AL,t,50,42,8,0,3.42
1137,12220796.0,20200000000000.0,15/12/24,city scrape,402191311,2021-05-18,,,,f,295,t,f,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.142,-8.61694,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Refrigerator"", ""Self check-in"", ""Hair dryer"", ""Fire extinguisher"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Wifi"", ""Hangers"", ""Dedicated workspace"", ""Lockbox"", ""Private entrance"", ""TV"", ""Bed linens"", ""Hot water kettle""]",$64.00,1,1125,23,53,83,344,269,16,0,08/05/16,12/10/24,4.66,4.84,4.75,4.89,4.83,4.93,4.68,5620/AL,t,50,42,8,0,2.57
1138,12221297.0,20200000000000.0,15/12/24,city scrape,402191311,2021-05-18,,,,f,295,t,f,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14184,-8.61643,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Refrigerator"", ""Self check-in"", ""Hair dryer"", ""Fire extinguisher"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Wifi"", ""Hangers"", ""Lockbox"", ""TV"", ""Bed linens"", ""Hot water kettle""]",$73.00,1,1125,24,54,80,336,361,49,2,08/05/16,08/12/24,4.59,4.73,4.64,4.77,4.74,4.87,4.62,5620/AL,t,50,42,8,0,3.44
1293,13440291.0,20200000000000.0,15/12/24,city scrape,364783572,2020-08-28,,,,f,152,t,f,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15383,-8.60845,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Self check-in"", ""Hair dryer"", ""Heating"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Wifi"", ""Shampoo"", ""Hangers"", ""Dedicated workspace"", ""Lockbox"", ""TV"", ""Bed linens"", ""Coffee maker"", ""Iron"", ""Crib"", ""Kitchen""]",$69.00,1,1125,9,15,45,319,300,11,2,25/06/16,23/11/24,4.46,4.67,4.6,4.66,4.66,4.84,4.58,84264/AL,f,135,120,15,0,2.91
1347,13605461.0,20200000000000.0,15/12/24,city scrape,429054820,2021-10-26,,,,f,3,t,t,Bonfim,41.14769,-8.60042,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Refrigerator"", ""Room-darkening shades"", ""Toaster"", ""Stainless steel oven"", ""Other electric stove"", ""Shampoo"", ""TV with standard cable"", ""Dedicated workspace"", ""Cleaning products"", ""Paid crib - available upon request"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Central heating"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""Host greets you"", ""Hangers"", ""Luggage dropoff allowed"", ""Wifi"", ""Paid parking lot off premises"", ""Coffee maker"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Hot water kettle"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Wine glasses"", ""Long term stays allowed"", ""Essentials"", ""Central air conditioning"", ""Clothing storage: closet and wardrobe"", ""Paid parking on premises"", ""Freezer"", ""Dining table"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Shower gel"", ""Cleaning available during stay"", ""Coffee"", ""Free washer \u2013 In unit"", ""Bed linens""]",$78.00,3,330,20,50,80,355,50,7,0,18/07/16,28/08/24,4.86,4.86,4.94,5.0,4.96,4.82,4.72,31106/AL,t,3,3,0,0,0.49
1451,14185095.0,20200000000000.0,14/12/24,city scrape,364783572,2020-08-28,,,,f,152,t,f,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16081,-8.6225,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Self check-in"", ""Hair dryer"", ""Heating"", ""Essentials"", ""Hot water"", ""Wifi"", ""Shampoo"", ""Washer"", ""Dedicated workspace"", ""Lockbox"", ""TV"", ""Bed linens"", ""Kitchen""]",$64.00,1,1125,13,43,73,348,203,10,0,10/08/16,02/11/24,4.24,4.6,4.16,4.44,4.48,4.35,4.31,39755/AL,f,135,120,15,0,2.0
